Names,AbsoluteError_1item_4secs,AbsoluteError_3items_4secs,Misbinding_Simple_1item_4secs,Misbinding_Simple_3items_4secs,Guessing_Simple_1item_4secs,Guessing_Simple_3items_4secs,Target_Simple_1item_4secs,Target_Simple_3items_4secs,IdentificationTime_1item_4secs,IdentificationTime_3items_4secs,LocalisationTime_1item_4secs,LocalisationTime_3items_4secs,ProportionCorrect_1item_4secs,ProportionCorrect_3items_4secs,Imprecision_Simple_1item_4secs,Imprecision_Simple_3items_4secs,
Short_Fractals1&3_Harmer_Murphy_221_2018-10-03T16-11-04-003Z.mat,47.83113508,111.480341,0,0.245544444,0.09894,0.207088889,0.90106,0.547366667,1.05755,2.084777778,2.81375,4.425444444,1,0.9,47.83113508,75.58730754,03/10/2018
Short_Fractals1&3_Harmer_umd009_2018-10-03T21-02-17-202Z.mat,34.15657014,184.2420267,0,0.276152941,0.045042105,0.1112,0.954957895,0.612647059,1.192105263,2.499352941,2.667684211,4.299235294,0.95,0.85,34.15657014,55.47219029,03/10/2018
Short_Fractals1&3_Harmer_Murphy_220_2018-10-05T09-20-00-463Z.mat,31.06665206,109.3608402,0,0.13016,0.023126316,0.10282,0.976873684,0.76702,1.077052632,2.036,3.157,3.7601,0.95,1,31.06665206,54.74843494,05/10/2018
Short_Fractals1&3_Harmer_Murphy_223_2018-10-10T13-41-49-140Z.mat,70.34458172,155.0243537,0,0.238873684,0.096070588,0.109526316,0.903929412,0.6516,0.934529412,2.173052632,1.962058824,3.460631579,0.85,0.95,70.34458172,63.60428683,10/10/2018
Short_Fractals1&3_Harmer_Murphy_119_2018-10-12T09-59-33-678Z.mat,50.74514072,143.1311211,0,0.235477778,0.10099,0.1327,0.89901,0.631822222,1.00635,1.639277778,2.73225,3.508,1,0.9,50.74514072,65.51947269,12/10/2018
Short_Fractals1&3_Harmer_Murphy_224_2018-10-12T09-24-26-774Z.mat,98.02039637,190.0230705,0,0.224514286,0.2293,0.138914286,0.7707,0.636571429,1.669277778,1.933785714,2.816388889,3.050714286,0.9,0.7,98.02039637,42.03410287,12/10/2018
Short_Fractals1&3_Harmer_Murphy_222_2018-10-16T14-22-17-060Z.mat,33.74463997,80.45813931,0,0.194444444,0.01137,0.088022222,0.98863,0.717533333,0.86615,1.5385,2.5501,3.160333333,1,0.9,33.74463997,62.83615829,16/10/2018
Short_Fractals1&3_Harmer_Murphy_116_2018-10-17T15-08-42-220Z.mat,18.91501207,101.7649341,0,0.187,0.10063,0.188822222,0.89937,0.624177778,1.42625,3.735444444,3.38785,5.375944444,1,0.9,18.91501207,36.82897448,17/10/2018
Short_Fractals1&3_Harmer_Murphy_225_2018-10-17T13-10-40-591Z.mat,39.34046843,165.1631779,0,0.262947368,0.12966,0.174694737,0.87034,0.562357895,0.84445,2.053157895,2.25635,4.271947368,1,0.95,39.34046843,49.26488326,17/10/2018
Short_Fractals1&3_Harmer_Murphy_228_2018-10-18T11-20-42-139Z.mat,69.76882134,188.1634602,0,0.29131,0.207494737,0.28567,0.792505263,0.42302,0.907473684,2.4231,1.902,3.41005,0.95,1,69.76882134,82.33768147,18/10/2018
Short_Fractals1&3_Harmer_trd002_2018-10-18T20-59-55-241Z.mat,32.70417352,85.56919593,0,0.052631579,0,0.042652632,1,0.904715789,1.22715,3.189842105,3.91915,5.579894737,1,0.95,32.70417352,60.4716104,18/10/2018
Short_Fractals1&3_Harmer_Murphy_227_2018-11-01T16-03-49-223Z.mat,33.53301469,199.2428998,0,0.301422222,0.03186,0.289088889,0.96814,0.409488889,0.9979,2.079888889,2.1824,3.447722222,1,0.9,33.53301469,102.0247866,01/11/2018
Short_Fractals1&3_Harmer_TRD006_2018-11-09T23-13-56-036Z.mat,40.58703961,128.1156909,0,0.2843,0.033368421,0.080888889,0.966631579,0.634811111,1.175684211,2.620444444,3.205157895,4.968777778,0.95,0.9,40.58703961,62.62095747,09/11/2018
Short_Fractals1&3_Harmer_trd005_2018-11-12T19-16-23-884Z.mat,66.80558678,99.72426941,0,0.09761,0.02637,0.0227,0.97363,0.87969,1.0535,1.68625,2.2652,3.2586,1,1,66.80558678,58.28114952,12/11/2018
Short_Fractals1&3_Harmer_UMD04_2018-11-27T12-14-12-253Z.mat,79.48619683,206.5476794,0,0.281435294,0.203821053,0.194282353,0.796178947,0.524282353,1.979368421,1.901411765,3.307052632,3.317176471,0.95,0.85,79.48619683,76.1044699,27/11/2018
Short_Fractals1&3_Harmer_umd016_2018-11-28T15-23-02-703Z.mat,44.45265289,109.6853549,0,0.149533333,0.08093,0.133255556,0.91907,0.717211111,0.841,1.999888889,2.22075,3.356722222,1,0.9,44.45265289,67.99521371,28/11/2018
Short_Fractals1&3_Harmer_UMD020_2018-12-17T08-50-05-030Z.mat,31.36763152,44.73450651,0,0.052631579,0,0.004578947,1,0.942789474,1.1734,2.733789474,3.05975,4.980578947,1,0.95,31.36763152,33.7352446,17/12/2018
Short_Fractals1&3_Harmer_UMD021_2018-12-18T08-23-16-766Z.mat,58.07259202,173.4533127,0,0.262211765,0.127031579,0.117270588,0.872968421,0.620517647,1.482315789,3.246117647,3.793315789,6.437411765,0.95,0.85,58.07259202,59.31686469,18/12/2018
Short_Fractals1&3_Harmer_UMD023_2019-01-09T08-21-31-599Z.mat,40.35389216,53.93574236,0,0.047711111,0.02726,0.061566667,0.97274,0.890722222,1.05055,1.800222222,3.0975,4.123055556,1,0.9,40.35389216,53.83228374,09/01/2019
Short_Fractals1&3_Harmer_umd018_2019-01-15T16-24-49-617Z.mat,45.12852839,53.11521633,0,0.050021053,0.08064,0.086315789,0.91936,0.863663158,1.04195,2.362210526,2.6337,4.175789474,1,0.95,45.12852839,44.30385901,15/01/2019
