Names,AbsoluteError_1item_4secs,AbsoluteError_3items_4secs,Misbinding_Simple_1item_4secs,Misbinding_Simple_3items_4secs,Guessing_Simple_1item_4secs,Guessing_Simple_3items_4secs,Target_Simple_1item_4secs,Target_Simple_3items_4secs,IdentificationTime_1item_4secs,IdentificationTime_3items_4secs,LocalisationTime_1item_4secs,LocalisationTime_3items_4secs,ProportionCorrect_1item_4secs,ProportionCorrect_3items_4secs,Imprecision_Simple_1item_4secs,Imprecision_Simple_3items_4secs
Short_Fractals1&3_Harmer_fencogp026v2_2022-03-04T14-46-38-531Z.mat,63.36008069,142.7333029,0,0.235311111,0.177810526,0.148044444,0.822189474,0.616644444,1.339684211,2.668888889,2.967263158,4.234277778,0.95,0.9,63.36008069,57.5538924
Short_Fractals1&3_Harmer_fencogp027v1_2022-02-28T12-00-42-206Z.mat,39.71080232,98.81682019,0,0.111746667,0.06808,0.10964,0.93192,0.778613333,0.8402,1.3012,1.7707,2.385666667,1,0.75,39.71080232,57.34576605
Short_Fractals1&3_Harmer_fencogp027v2_2022-03-07T13-13-44-947Z.mat,65.48577616,129.9728903,0,0.138968421,0.11393,0.086084211,0.88607,0.774947368,0.8749,1.491894737,1.71115,2.396736842,1,0.95,65.48577616,52.47790336
Short_Fractals1&3_Harmer_fencogp029v2_2022-03-17T12-45-21-992Z.mat,39.75163224,47.75499672,0,0.05,0.00214,0.0045,0.99786,0.9455,1.1561,2.9957,3.1249,6.0088,1,1,39.75163224,39.30016527
Short_Fractals1&3_Harmer_fencogp030v1_2022-03-11T12-32-17-445Z.mat,47.03662534,99.77173037,0,0.1086,0.04166,0.070022222,0.95834,0.821377778,0.77985,1.2205,2.54465,3.279166667,1,0.9,47.03662534,62.59485319
Short_Fractals1&3_Harmer_fencogp030v2_2022-03-18T11-40-22-492Z.mat,67.85276662,132.0896644,0,0.165447059,0.115329412,0.1208,0.884670588,0.713752941,1.279588235,1.512705882,2.386529412,2.868705882,0.85,0.85,67.85276662,63.81144638
Short_Fractals1&3_Harmer_fencogp031v1_2022-03-22T12-26-45-809Z.mat,33.41606356,71.2880271,0,0.090915789,0.01381,0.043136842,0.98619,0.865947368,1.0397,2.418210526,3.51065,5.210842105,1,0.95,33.41606356,56.94165189
Short_Fractals1&3_Harmer_fencogp031v2_2022-03-29T11-47-01-284Z.mat,36.17048969,81.04905589,0,0.052631579,0.03848,0.066778947,0.96152,0.880589474,0.81095,1.916684211,2.50205,3.804157895,1,0.95,36.17048969,48.65647444
Short_Fractals1&3_Harmer_fencogp032_2022-03-30T11-25-03-237Z.mat,32.55026428,192.3491952,0,0.287822222,0.07696,0.183733333,0.92304,0.528444444,1.15345,2.294666667,3.1145,5.250277778,1,0.9,32.55026428,58.85046149
Short_Fractals1&3_Harmer_fencogp032v2_2022-04-06T11-35-51-544Z.mat,30.43509944,89.34906009,0,0.152894118,0.050557895,0.061917647,0.949442105,0.785188235,1.251105263,2.232,2.685263158,3.685235294,0.95,0.85,30.43509944,43.09413236
Short_Fractals1&3_Harmer_fencogp033v1_2022-04-05T11-31-46-628Z.mat,31.31069589,91.58271027,0,0.093410526,0.01523,0.076694737,0.98477,0.829894737,0.84325,1.921,2.51675,4.252578947,1,0.95,31.31069589,54.43060672
Short_Fractals1&3_Harmer_fencogp033v2_2022-04-12T12-12-32-036Z.mat,30.04367408,96.23852069,0,0.09744,0.02978,0.04985,0.97022,0.85271,0.9255,1.99415,2.33735,3.96775,1,1,30.04367408,44.17844329
Short_Fractals1&3_Harmer_fencogp034v1_2022-04-07T11-20-30-254Z.mat,62.36513751,218.6509973,0,0.318177778,0.26407,0.2606,0.73593,0.421222222,1.00465,1.703722222,2.7127,3.190277778,1,0.9,62.36513751,68.48578154
Short_Fractals1&3_Harmer_fencogp034v2_2022-04-14T11-46-05-294Z.mat,68.85765264,230.5091989,0,0.270435294,0.273684211,0.252682353,0.726315789,0.476882353,1.277157895,1.726117647,2.851736842,4.904764706,0.95,0.85,68.85765264,68.37894283
Short_Fractals1&3_Harmer_fencogp035v1_2022-04-11T11-38-59-520Z.mat,34.87786041,151.6456273,0,0.227452632,0.093768421,0.148431579,0.906231579,0.624115789,0.793526316,2.228894737,3.156947368,5.734315789,0.95,0.95,34.87786041,48.08513731
Short_Fractals1&3_Harmer_fencogp035v2_2022-04-19T12-47-59-533Z.mat,27.45749262,75.18795721,0,0.09757,0,0.01154,1,0.89089,1.052105263,1.9958,4.411263158,6.22275,0.95,1,27.45749262,44.87564815
Short_Fractals1&3_Harmer_fencogp036v2_2022-04-13T11-15-21-787Z.mat,37.27922932,107.696861,0,0.21158,0.03992,0.11979,0.96008,0.66863,0.85655,1.77605,2.3433,3.852,1,1,37.27922932,66.93422699
Short_Fractals1&3_Harmer_fencogp036v2_2022-04-21T12-00-57-349Z.mat,48.40055217,125.9716597,0,0.194042105,0.10797,0.094568421,0.89203,0.711389474,0.70235,1.501473684,1.70385,2.810315789,1,0.95,48.40055217,48.75027773
Short_Fractals1&3_Harmer_fencogp037v1_2022-04-22T10-45-35-428Z.mat,42.55594087,57.98764901,0,0,0.02539,0.05942,0.97461,0.94058,1.05115,2.6115,3.34155,5.0341,1,1,42.55594087,57.98764901
Short_Fractals1&3_Harmer_fencogp037v2_2022-04-29T11-13-43-572Z.mat,25.76587223,47.06622981,0,0.05,0,0.0156,1,0.9344,1.0125,2.5729,3.01915,4.5008,1,1,25.76587223,46.71289114
Short_Fractals1&3_Harmer_fencogp038v1_2022-04-26T10-45-09-137Z.mat,80.03263404,215.03797,0,0.337282353,0.290431579,0.288882353,0.709568421,0.373835294,1.499,2.725588235,3.247052632,4.786647059,0.95,0.85,80.03263404,63.48170121
Short_Fractals1&3_Harmer_fencogp038v2_2022-05-03T12-38-01-530Z.mat,70.87450559,166.2496807,0,0.311625,0.2825,0.2947125,0.7175,0.3936625,1.51875,2.811625,3.63715,5.7980625,1,0.8,70.87450559,48.25368069
Short_Fractals1&3_Harmer_fencogp039v2_2022-05-04T10-49-58-357Z.mat,24.60472449,39.07897521,0,0,0.030663158,0.038277778,0.969336842,0.961722222,0.835842105,1.732944444,2.726473684,3.715111111,0.95,0.9,24.60472449,39.07897521
